"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US31700","Manchester-Nashua, NH Metro Area","422937",
"310M600US31740","Manhattan, KS Metro Area","134046",
"310M600US31860","Mankato, MN Metro Area","103566",
"310M600US31900","Mansfield, OH Metro Area","124936",
"310M600US32420","Mayagüez, PR Metro Area","97605",
"310M600US32580","McAllen-Edinburg-Mission, TX Metro Area","870781",
"310M600US32780","Medford, OR Metro Area","223259",
"310M600US32820","Memphis, TN-MS-AR Metro Area","1337779",
"310M600US32900","Merced, CA Metro Area","281202",
"310M600US33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","6138333",
"310M600US33140","Michigan City-La Porte, IN Metro Area","112417",
"310M600US33220","Midland, MI Metro Area","83494",
"310M600US33260","Midland, TX Metro Area","175220",
"310M600US33340","Milwaukee-Waukesha, WI Metro Area","1574731",
"310M600US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3690261",
"310M600US33540","Missoula, MT Metro Area","117922",
"310M600US33660","Mobile, AL Metro Area","430197",
"310M600US33700","Modesto, CA Metro Area","552878",
"310M600US33740","Monroe, LA Metro Area","207104",
"310M600US33780","Monroe, MI Metro Area","154809",
"310M600US33860","Montgomery, AL Metro Area","386047",
"310M600US34060","Morgantown, WV Metro Area","140038",
"310M600US34100","Morristown, TN Metro Area","142709",
"310M600US34580","Mount Vernon-Anacortes, WA Metro Area","129523",
"310M600US34620","Muncie, IN Metro Area","111903",
"310M600US34740","Muskegon, MI Metro Area","175824",
"310M600US34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","487722",
"310M600US34900","Napa, CA Metro Area","138019",
"310M600US34940","Naples-Marco Island, FL Metro Area","375752",
"310M600US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1989519",
"310M600US35100","New Bern, NC Metro Area","122168",
"310M600US35300","New Haven-Milford, CT Metro Area","864835",
"310M600US35380","New Orleans-Metairie, LA Metro Area","1271845",
"310M600US35620","New York-Newark-Jersey City, NY-NJ-PA Metro Area","20140470",
"310M600US35660","Niles, MI Metro Area","154316",
"310M600US35840","North Port-Sarasota-Bradenton, FL Metro Area","833716",
"310M600US35980","Norwich-New London, CT Metro Area","268555",
"310M600US36100","Ocala, FL Metro Area","375908",
"310M600US36140","Ocean City, NJ Metro Area","95263",
"310M600US36220","Odessa, TX Metro Area","165171",
"310M600US36260","Ogden-Clearfield, UT Metro Area","694863",
"310M600US36420","Oklahoma City, OK Metro Area","1425695",
"310M600US36500","Olympia-Lacey-Tumwater, WA Metro Area","294793",
"310M600US36540","Omaha-Council Bluffs, NE-IA Metro Area","967604",
"310M600US36740","Orlando-Kissimmee-Sanford, FL Metro Area","2673376",
